Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712798163.09,0,0,43.5,3.0,4.0,6.0,30.11994140625,37.10252958196043,1004.6613455084505,71.75313326984795,134207.5
1712798164.99,0,0,41.5,3.0,4.0,6.0,30.11994140625,37.10252958196043,1004.6613455084505,71.75313326984795,134207.5
1712798167.04,0,0,37.0,3.0,4.0,6.0,28.8794140625,36.842820216099724,1004.2355670092157,75.32311655337946,26730.0
1712798169.01,0,0,37.0,3.0,4.0,6.0,28.235078125,36.577255706408124,1004.0005972047284,77.29377918214061,43035.5
1712798171.05,0,0,37.5,3.0,4.0,6.0,27.89416015625,36.34953157601568,1003.8739268198922,78.35630534680183,58422.5
1712798173.03,0,0,31.0,3.0,4.0,6.0,27.72111328125,36.257201598157195,1003.8173624355074,78.83081107175906,72825.5
1712798175.05,0,0,37.5,3.0,4.0,5.0,27.626972656249997,36.18447686276673,1003.7725346025104,79.20687720453438,86890.0
1712798177.03,0,0,28.5,3.0,4.0,5.0,27.58185546875,36.027771452159385,1003.7511931651461,79.38591783890736,97636.5
1712798179.03,0,0,28.5,3.0,4.0,5.5,27.56603515625,35.90859566550111,1003.7430702281572,79.45406482490847,109593.5
1712798181.02,0,0,41.5,3.0,4.0,5.5,27.567988281250003,35.77984361959027,1003.7247587862535,79.60768934940668,120639.0
1712798183.04,0,0,43.5,3.0,4.0,6.0,27.57912109375,35.66928299322379,1003.713905542018,79.69874420887598,130209.0
1712798185.02,0,0,34.0,3.0,4.0,6.0,27.5938671875,35.559159000695615,1003.7124885966208,79.71063185093519,140555.5
1712798187.03,0,0,34.0,3.0,5.0,5.0,27.61251953125,35.472365268900646,1003.7149591775055,79.68990448653962,148192.5
1712798189.02,0,0,43.0,3.0,5.0,5.0,27.6344921875,35.38880368611615,1003.7125871205263,79.70980535043549,156053.0
1712798191.05,0,0,41.5,3.0,5.0,5.5,27.65158203125,35.313365467558214,1003.6978095874356,79.83378481335095,164644.0
1712798193.05,0,0,47.0,3.0,5.0,5.5,27.66544921875,35.22051484060175,1003.6975169007807,79.8362405006039,173319.0
1712798195.06,0,0,32.5,3.0,5.0,6.0,27.678242187499997,35.12190287720991,1003.6997535173141,79.81747567390192,180117.5
1712798197.01,0,0,32.5,3.0,5.0,6.0,27.67853515625,35.036375738466845,1003.7028253833646,79.79170345732099,186066.5
1712798199.05,0,0,38.5,3.0,5.0,6.0,27.664179687500003,34.946604113961705,1003.69541278268,79.85389350167301,191416.0
1712798201.02,0,0,32.0,3.0,5.0,6.0,27.646015625,34.89638783979983,1003.6928940559192,79.87502515169089,196448.0
1712798203.05,0,0,40.0,3.0,4.5,6.0,27.62619140625,34.86026693742665,1003.6902085160821,79.89755634749449,201798.5
1712798205.01,0,0,40.0,3.0,4.5,6.0,27.6102734375,34.830234017686465,1003.693995919824,79.86578071149842,206609.5
1712798207.05,0,0,36.0,3.0,4.0,6.0,27.596015625,34.82314338306409,1003.6962237756104,79.84708947107436,210771.0
1712798209.03,0,0,36.0,3.0,4.0,6.0,27.5911328125,34.81981854440869,1003.6941643993301,79.86436719266149,214823.5
1712798211.05,0,0,45.0,3.0,4.0,6.0,27.585078125000003,34.83915307973736,1003.6910244465803,79.89071082465074,218826.0
1712798213.0,0,0,41.5,3.0,4.0,6.0,27.585078125000003,34.83915307973736,1003.6910244465803,79.89071082465074,218826.0
1712798215.08,0,0,41.5,2.5,4.0,6.0,27.57072265625,34.85198186197875,1003.6775734563196,80.0035629464927,222216.0
1712798217.02,0,0,35.5,2.5,4.0,6.0,27.563984374999997,34.8541684763744,1003.6810577815149,79.97432980671155,224564.0
1712798219.05,0,0,37.5,2.0,4.0,6.0,27.5618359375,34.8568053706587,1003.6878400528216,79.91742743688197,226194.5
1712798221.03,0,0,30.0,2.0,4.0,6.0,27.57130859375,34.87197064194737,1003.6923361088984,79.87970623556082,231509.0
