Time,PM10,PM25,PM100,Temperature,Gas,Humidity,Pressure,Altitude
1707956545.3829358,0,0,0,33.9,315852,100,698.528,3029.24
1707956546.393757,0,0,0,26.8,39393,40.5,1004.702,71.41
1707956547.4045448,0,0,0,26.9,53599,40.5,1004.704,71.4
1707956548.4152942,0,0,0,26.9,69720,40.4,1004.705,71.39
1707956549.4262393,0,0,0,26.9,85904,40.3,1004.71,71.35
1707956550.4382775,0,0,0,26.9,100208,40.2,1004.709,71.35
1707956551.450344,0,0,0,27.0,114874,40.2,1004.719,71.27
1707956552.462425,0,0,0,27.0,128817,40.1,1004.722,71.24
1707956553.4745057,0,0,0,27.0,140508,40.0,1004.719,71.27
1707956554.4865248,0,0,0,27.0,151481,40.0,1004.721,71.25
1707956555.4973307,0,0,0,27.0,162104,40.0,1004.728,71.19
1707956556.5081546,0,0,0,27.0,171668,39.9,1004.717,71.28
1707956557.5189133,0,0,0,27.0,180868,39.9,1004.709,71.35
1707956558.5296772,0,0,0,27.0,187406,39.8,1004.717,71.29
1707956559.5405085,0,0,0,27.0,194663,39.7,1004.724,71.23
1707956560.5524855,0,0,0,27.0,199460,39.7,1004.712,71.33
1707956561.5646114,0,0,0,27.0,203248,39.9,1004.709,71.35
1707956562.5757012,0,0,0,27.0,210468,40.1,1004.709,71.35
1707956563.5868607,0,0,0,27.0,216935,40.2,1004.712,71.33
1707956564.5980213,0,0,0,27.0,223060,40.3,1004.723,71.23
1707956565.6090052,0,0,0,27.0,228435,40.2,1004.722,71.24
1707956566.6198287,0,0,0,27.0,232762,40.2,1004.73,71.18
1707956567.6313877,0,0,0,27.0,237936,40.2,1004.725,71.22
1707956568.643425,0,0,0,26.9,242103,40.1,1004.728,71.2
1707956569.6555693,0,0,0,26.9,245507,40.1,1004.723,71.24
1707956570.6673694,0,0,0,26.9,249945,40.1,1004.72,71.26
1707956571.678229,0,0,0,26.9,253769,40.1,1004.715,71.3
1707956572.688998,0,0,0,26.9,258312,40.0,1004.726,71.21
1707956573.699818,0,0,0,26.9,260544,40.0,1004.728,71.2
1707956574.7105544,0,0,0,26.9,263649,40.0,1004.726,71.21
1707956575.7213871,0,0,0,26.9,265974,40.0,1004.73,71.18
1707956576.7325563,0,0,0,26.9,269648,40.0,1004.729,71.18
1707956577.743624,0,0,0,26.8,273426,39.9,1004.697,71.45
1707956578.7547746,0,0,0,26.8,274785,39.9,1004.681,71.59
