Time,PM10,PM25,PM100,Temperature,Gas,Humidity,Pressure,Altitude
1707964617.8065903,0,0,0,33.9,135081,100,690.817,3116.39
1707964618.818987,0,0,0,15.7,1612,59.2,1010.047,26.7
1707964619.8308578,0,0,0,15.8,1852,59.2,1010.038,26.77
1707964620.8429646,0,0,0,15.8,2174,59.1,1010.04,26.76
1707964621.8550951,0,0,0,15.9,2514,58.9,1010.039,26.77
1707964622.8669083,0,0,0,15.9,2940,58.7,1010.042,26.74
1707964623.8789473,0,0,0,15.9,3298,58.6,1010.043,26.74
1707964624.890553,0,0,0,16.0,3644,58.4,1010.035,26.8
1707964625.9023385,0,0,0,16.0,4027,58.3,1010.027,26.87
1707964626.914261,0,0,0,16.1,4416,58.1,1010.029,26.85
1707964627.9260645,0,0,0,16.1,4830,58.0,1010.035,26.8
1707964628.9377909,0,0,0,16.2,5275,57.9,1010.04,26.76
1707964629.9495773,0,0,0,16.2,5734,57.8,1010.042,26.74
1707964630.961489,0,0,0,16.2,6177,57.7,1010.04,26.76
1707964631.9736125,0,0,0,16.3,6717,57.6,1010.034,26.81
1707964632.9855952,0,0,0,16.3,7249,57.5,1010.031,26.84
1707964633.9975982,0,0,0,16.3,7836,57.3,1010.034,26.81
1707964635.009563,0,0,0,16.3,8403,57.2,1010.039,26.77
1707964636.0217123,0,0,0,16.3,8973,57.1,1010.033,26.81
1707964637.0337603,0,0,0,16.3,9530,57.0,1010.03,26.84
1707964638.0457098,0,0,0,16.3,10150,56.9,1010.032,26.83
1707964639.057377,0,0,0,16.3,10712,56.8,1010.036,26.79
1707964640.0694702,0,0,0,16.3,11365,56.7,1010.037,26.78
1707964641.0815861,0,0,0,16.4,11937,56.6,1010.032,26.83
1707964642.0937808,0,0,0,16.4,12583,56.5,1010.036,26.8
1707964643.1063716,0,0,0,16.4,13152,56.4,1010.027,26.87
1707964644.1188865,0,0,0,16.4,13820,56.3,1010.024,26.89
1707964645.1310513,0,1,1,16.4,14420,56.2,1010.025,26.88
1707964646.143256,0,1,1,16.4,15031,56.2,1010.017,26.95
1707964647.1553001,0,1,1,16.4,15602,56.1,1010.017,26.95
1707964648.1673927,0,0,0,16.4,16281,56.1,1010.014,26.98
1707964649.1794467,0,0,0,16.4,16737,56.0,1010.015,26.97
1707964650.1915448,0,0,0,16.5,17361,56.0,1010.025,26.89
1707964651.203604,0,0,0,16.5,17957,55.9,1010.022,26.91
1707964652.2155292,0,0,0,16.5,18562,55.9,1010.033,26.81
1707964653.2277277,0,0,0,16.6,19156,55.8,1010.032,26.83
1707964654.2399561,0,0,0,16.6,19771,55.8,1010.035,26.8
1707964655.2519095,0,0,0,16.6,20347,55.7,1010.041,26.75
1707964656.2640212,0,0,0,16.7,20896,55.6,1010.045,26.72
1707964657.2761624,0,0,0,16.7,21518,55.5,1010.041,26.75
1707964658.2881885,0,0,0,16.7,22086,55.5,1010.035,26.8
1707964659.3003407,0,0,0,16.7,22733,55.4,1010.034,26.81
1707964660.3124907,0,1,1,16.8,23290,55.3,1010.027,26.87
